Name	SMILES	Melting Point	Boiling Point	Length	Cycle_Count	Acid-P	Amide	Acyl_Halide-F	Acyl_Halide-Cl	Acyl_Halide-Br	Acyl_Halide-I	Ester-C	Acid-C	Ketone	Base-C	Aldehyde	Ether	Nitrile	Imine	Nitro	Amine-T	Amine-S	Amine-P	Allene	Alkine	Alkene	Org-Chloride	Org-Fluoride	Org-Bromide	Org-Iodide	Unidentified Acid	Unidentified Oxyl	Unidentified Base
1-aminopropan-2-ol	CC(CN)O	279.2535555555555	453.66809523809525	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1-chloro-2,4-dinitrobenzene	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl	326.4	588.15	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0
1,2-dichloroethane	C(CCl)Cl	237.65138888888887	356.5880952380952	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1,2,4-trichlorobenzene	C1=CC(=C(C=C1Cl)Cl)Cl	290.24777777777774	486.39074074074074	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
2,3-dihydroxybenzoic acid	C1=CC(=C(C(=C1)O)O)C(=O)O	477.15	None	5	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-chloroacetaldehyde	C(C=O)Cl	261.0690476190476	360.59444444444443	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2-chloroethanol	C(CCl)O	205.64074074074074	401.64166666666665	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2-hydroxypropanedioic acid	C(C(=O)O)(C(=O)O)O	430.15	None	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-methyl-2-oxobutanoic acid	CC(C)C(=O)C(=O)O	304.65	443.65	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxopentanedioic acid	C(CC(=O)O)C(=O)C(=O)O	388.65	None	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxobutanoic acid	CCC(=O)C(=O)O	306.15	None	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,5-dichlorophenol	C1=CC(=C(C=C1Cl)O)Cl	331.4648148148148	461.8122222222222	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
4-methyl-2-oxopentanoic acid	CC(C)CC(=O)C(=O)O	282.15	None	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxohexanedioic acid	C(CC(=O)C(=O)O)CC(=O)O	400.15	None	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3,4-dihydroxybenzoic acid	C1=CC(=C(C=C1C(=O)O)O)O	494.15	None	4	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
pyridine-3-carbonitrile	C1=CC(=CN=C1)C#N	324.15	480.04999999999995	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-amino-3-hydroxybenzoic acid	C1=CC(=C(C(=C1)O)N)C(=O)O	475.15	None	5	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0
2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid	C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N	490.15	None	7	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0
3-oxohexanedioic acid	C(CC(=O)O)C(=O)CC(=O)O	398.15	None	5	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-oxobutanoic acid	CC(=O)CC(=O)O	309.65	None	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxybenzaldehyde	C1=CC(=CC(=C1)O)C=O	381.15	513.15	5	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
3-(hydroxymethyl)phenol	C1=CC(=CC(=C1)O)CO	346.15	None	5	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
2-amino-3-phosphonooxypropanoic acid	C(C(C(=O)O)N)OP(=O)(O)O	501.15	None	4	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3-phenylpropanoic acid	C1=CC=C(C=C1)CCC(=O)O	349.9	552.95	8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-pyridin-3-ylacetic acid	C1=CC(=CN=C1)CC(=O)O	417.15	None	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-(carbamoylamino)propanoic acid	C(CNC(=O)N)C(=O)O	443.15	None	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4-aminobutanoic acid	C(CC(=O)O)CN	476.15	None	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4-(hydroxymethyl)phenol	C1=CC(=CC=C1CO)O	397.65	525.15	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
4-hydroxybenzaldehyde	C1=CC(=CC=C1C=O)O	390.15	583.15	4	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
2-(4-hydroxyphenyl)acetic acid	C1=CC(=CC=C1CC(=O)O)O	423.15	None	4	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
4-hydroxybenzoic acid	C1=CC(=CC=C1C(=O)O)O	487.65	None	4	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
5-amino-4-oxopentanoic acid	C(CC(=O)O)C(=O)CN	430.15	None	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5-aminopentanoic acid	C(CCN)CC(=O)O	430.65	None	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
17-(7-hydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol	CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO	505.15	None	4	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid	C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N	572.15 and decomposes	None	8	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0
acetic acid	CC(=O)O	289.78493055555555	391.0119047619047	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetaldehyde	CC=O	149.92619047619044	293.7037037037037	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetamide	CC(=O)N	354.8644444444444	494.8537037037037	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxybutan-2-one	CC(C(=O)C)O	288.15	419.48333333333335	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
propan-2-one	CC(=O)C	178.2095238095238	329.1772222222222	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-acetamidopentanedioic acid	CC(=O)NC(CCC(=O)O)C(=O)O	473.15	None	6	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-acetyloxyethyl(trimethyl)azanium	CC(=O)OCC[N+](C)(C)C	421.15	None	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7H-purin-6-amine	C1=NC2=NC=NC(=C2N1)N	633.15	None	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0
2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N	530.4	None	4	3	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2-(4-aminobutyl)guanidine	C(CCN=C(N)N)CN	509.15	None	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2,2-bis(carbamoylamino)acetic acid	C(C(=O)O)(NC(=O)N)NC(=O)N	453.65	None	4	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2,5-dioxoimidazolidin-4-yl)urea	C1(C(=O)NC(=O)N1)NC(=O)N	511.8166666666666	None	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
azane	N	195.37962962962962	239.87666666666664	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-aminobenzoic acid	C1=CC=C(C(=C1)C(=O)O)N	418.8375	2265.15	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0
arsoric acid	O[As](=O)(O)O	275.65	393.15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
4-N-(6-chloro-2-methoxyacridin-9-yl)-1-N,1-N-diethylpentane-1,4-diamine	CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC	521.95 and decomposes	None	14	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	6	1	0	0	0	0	0	0
